(-3530.047, -2010.028, 630.256)
(-3480.787, -1837.153, 648.256)
(-3391.411, -1729.041, 684.994)
(-3331.049, -1581.685, 684.994)
(-3201.875, -1458.285, 684.994)
(-3071.385, -1320.456, 673.269)
(-2931.780, -1187.241, 613.342)
(-2766.686, -1174.214, 554.423)
(-2624.884, -1144.151, 545.221)
(-2483.999, -1120.847, 487.499)
(-2329.827, -1114.670, 448.518)
(-2172.659, -1202.132, 473.138)
(-2043.182, -1281.853, 473.138)
(-1935.412, -1348.019, 473.138)
(-1788.557, -1439.177, 473.138)
(-1644.539, -1530.946, 473.138)
(-1495.678, -1421.569, 456.133)
(-1346.442, -1283.740, 485.133)
(-1230.022, -1172.143, 485.133)
(-1119.883, -1068.486, 485.133)
(-1003.183, -970.842, 485.133)
(-907.984, -847.763, 489.206)
(-789.509, -666.954, 507.206)
(-695.226, -523.079, 512.206)
(-598.788, -375.910, 512.206)
(-505.212, -283.680, 453.943)
(-423.456, -195.618, 364.154)
(-346.571, -127.377, 249.512)
(-255.849, -56.803, 166.936)
(-146.823, 2.623, 100.446)
(-58.883, 62.126, 62.975)
(47.884, -93.147, 15.692)
(161.508, -131.118, 46.780)
(256.269, -116.752, 92.781)
(406.104, -121.619, 124.780)
(546.208, -206.314, 163.780)
(604.148, -349.227, 272.607)
(593.128, -522.037, 314.626)
(605.657, -698.916, 292.447)
(638.291, -892.957, 288.562)
(658.070, -1069.351, 299.045)
(657.687, -1237.488, 341.915)
(647.147, -1387.298, 359.567)
(628.417, -1573.474, 385.647)
(660.767, -1791.029, 390.046)
(716.216, -1969.027, 398.696)
(709.880, -2141.969, 407.751)
(720.366, -2285.354, 401.731)
(726.525, -2439.256, 412.145)
(730.541, -2640.930, 415.837)
(709.906, -2777.067, 415.221)
(581.230, -2925.672, 437.678)
(361.916, -3004.935, 433.072)
(143.818, -3057.008, 413.124)
(17.871, -3116.069, 438.124)
(-117.086, -3124.769, 475.124)
(-212.035, -3149.142, 541.124)
(-319.969, -3170.580, 613.124)
(-450.264, -3217.403, 648.124)
(-577.476, -3192.643, 664.124)
(-726.219, -3201.990, 708.124)
(-849.709, -3225.649, 741.124)
(259.853, -3032.574, 452.684)
(473.674, -2970.601, 450.464)
(-998.702, -3306.531, 754.671)
(-1203.666, -3374.694, 758.379)
(-1099.538, -3356.866, 775.379)
(-1302.160, -3416.375, 774.747)
(-1410.049, -3453.371, 790.458)
(-1548.956, -3483.854, 786.771)
(-1729.926, -3558.839, 789.293)
(-1882.120, -3551.836, 765.668)
(-2017.552, -3546.261, 751.128)
(-2141.349, -3582.676, 751.128)
(-2267.034, -3619.904, 728.937)
(-2429.076, -3579.812, 705.856)
(-2567.777, -3521.839, 674.013)
(-2645.492, -3426.908, 666.244)
(-2724.803, -3313.839, 639.158)
(-2806.741, -3187.065, 621.737)
(-2875.568, -3066.344, 620.667)
(-2913.931, -2910.990, 626.768)
(-2918.369, -2751.685, 640.768)
(-2993.897, -2587.672, 637.598)
(-3044.589, -2487.384, 640.120)
(-3113.929, -2350.713, 647.093)
(-3177.524, -2205.806, 638.852)
(-3207.134, -2086.811, 640.059)
(-102.454, -196.874, 97.000)
(-169.010, -352.368, 210.000)
(-247.731, -450.445, 361.000)
(-314.344, -529.350, 446.000)
(-411.163, -610.021, 512.000)
(-488.271, -749.859, 528.000)
(-549.786, -857.555, 528.000)
(-669.319, -1015.911, 520.368)
(-753.718, -1201.470, 514.954)
(-816.154, -1348.884, 514.954)
(-929.846, -1490.045, 524.954)
(-1019.830, -1603.526, 545.954)
(-1122.657, -1710.770, 504.252)
(-1266.405, -1853.681, 500.401)
(-1460.195, -1910.708, 500.401)
(-1687.271, -1929.177, 513.401)
(-1853.011, -1914.673, 536.401)
(-2035.341, -1842.166, 528.249)
(-3182.717, -1937.917, 650.346)
(-3097.503, -1759.428, 669.379)
(-2888.135, -1696.219, 668.698)
(-2784.144, -1652.946, 616.152)
(-2643.096, -1633.161, 584.252)
(-2505.997, -1542.818, 546.568)
(-2345.620, -1511.505, 521.279)
(-2241.492, -1593.806, 527.248)
(-2132.952, -1725.405, 518.133)
